0.444, 0.286, 0 
0.5, 0.889, 1 
0.2727, 0.667, 0 
0.4167, 1, 1 
0.5833, 0.66, 1 
0.5625, 0.75, 1 
0.8, 0.667, 1 
0.526, 0, 1 
0.5, 0.375, 1 
0.375, 0.75, 1 
0.6363, 0.4, 1 
0.555, 0.444, 1 
0.6, 0.55, 1 
0.42105, 0.625, 0 
0.5882, 0.333, 1 
0.625, 0.75, 1 
0.22, 0.25, 0 
0.3846, 0.7778, 1 
0.2, 0.4286, 0 
0.5294, 0, 1 
0.2857, 0.33, 1 
0.5, 0.4, 1 
0.6363, 0.6, 1 
0.5833, 0.4, 1 
0.2727, 0.375, 1 
0.667, 1, 1 
0.333, 0.53846, 1 
0.333, 0.625, 1 
0.768, 0.375, 1 
0.46667, 0.5, 0 
0.2857, 0.75, 1 
0.75, 0.44, 1 
0.5, 0.5, 1 
0.333, 0.4286, 1 

